,Name,rel_date,orig_price,discounted_price,discount%
200,Counter-Strike: Global Offensive,08-21-2012,14.99,14.99,0.0
201,PLAYERUNKNOWN'S BATTLEGROUNDS,03-23-2017,29.99,29.99,0.0
202,Outlast 2,04-24-2017,29.99,29.99,0.0
203,SMITE,09-8-2015,0.0,0.0,0.0
204,Rocket League,07-6-2015,19.99,19.99,0.0
205,BlazBlue Centralfiction,04-25-2017,39.99,35.99,10.0
206,Warframe,03-25-2013,0.0,0.0,0.0
207,The Long Dark,09-22-2014,19.99,9.99,50.03
208,H1Z1: King of the Kill,02-17-2016,19.99,19.99,0.0
209,NieR:Automata ,03-17-2017,59.99,59.99,0.0
210,Batman : Arkham Knight,06-23-2015,19.99,7.99,60.03
211,Team Fortress 2,10-10-2007,0.0,0.0,0.0
212,War Thunder,08-15-2013,0.0,0.0,0.0
213,DRAGON QUEST HEROES  II,04-25-2017,59.99,59.99,0.0
214,FINAL FANTASY XIV: A Realm Reborn ,02-18-2014,19.99,19.99,0.0
215,Batman: Arkham City - Game of the Year Edition,09-7-2012,19.99,4.99,75.04
216,Space Engineers,10-23-2013,24.99,7.49,70.03
217,Sniper Ghost Warrior 3,04-24-2017,49.99,49.99,0.0
218,Tom Clancy's Rainbow Six Siege,12-1-2015,14.99,14.99,0.0
219,Dota 2,07-9-2013,0.0,0.0,0.0
220,Grand Theft Auto V,04-13-2015,59.99,59.99,0.0
221,Batman: Arkham Asylum Game of the Year Edition,03-26-2010,19.99,4.99,75.04
222,Halo Wars: Definitive Edition,04-20-2017,19.99,19.99,0.0
223,Street Fighter V,02-15-2016,39.99,39.99,0.0
224,Batman : Arkham VR,04-25-2017,19.99,19.99,0.0
225,Star Trek Online,01-31-2012,0.0,0.0,0.0
226,Fallout Shelter,03-29-2017,0.0,0.0,0.0
227,Path of Exile,10-23-2013,0.0,0.0,0.0
228,Batman : Arkham Origins,10-25-2013,19.99,4.99,75.04
229,Sid Meier’s Civilization VI,10-20-2016,59.99,59.99,0.0
230,What Remains of Edith Finch,04-24-2017,19.99,19.99,0.0
231,Scanner Sombre,04-26-2017,11.99,9.59,20.02
232,Earthfall,04-26-2017,29.99,29.99,0.0
233,Rick and Morty: Virtual Rick-ality,04-20-2017,29.99,29.99,0.0
234,Stardew Valley,02-26-2016,14.99,14.99,0.0
235,Stellaris,05-9-2016,39.99,39.99,0.0
236,TERA,05-5-2015,0.0,0.0,0.0
237,RimWorld,07-15-2016,29.99,29.99,0.0
238,Dungeon Fighter Online,08-9-2016,0.0,0.0,0.0
239,Factorio,02-25-2016,20.0,20.0,0.0
240,NBA 2K17,09-20-2016,59.99,59.99,0.0
241,LEGO Batman,10-10-2008,19.99,4.99,75.04
242,LEGO Batman 2 DC Super Heroes ,06-22-2012,19.99,4.99,75.04
243,LEGO Batman 3: Beyond Gotham,11-11-2014,29.99,7.49,75.03
244,The Witcher 3: Wild Hunt,05-18-2015,39.99,39.99,0.0
245,DARK SOULS  III,04-11-2016,59.99,59.99,0.0
246,Silence,11-15-2016,29.99,14.99,50.02
247,Bayonetta,04-11-2017,19.99,19.99,0.0
248,Portal Knights,02-25-2016,14.99,11.24,25.02
249,Paladins,09-15-2016,0.0,0.0,0.0
250,Counter-Strike: Global Offensive,08-21-2012,14.99,14.99,0.0
251,PLAYERUNKNOWN'S BATTLEGROUNDS,03-23-2017,29.99,29.99,0.0
252,Outlast 2,04-24-2017,29.99,29.99,0.0
253,SMITE,09-8-2015,0.0,0.0,0.0
254,Rocket League,07-6-2015,19.99,19.99,0.0
255,BlazBlue Centralfiction,04-25-2017,39.99,35.99,10.0
256,Warframe,03-25-2013,0.0,0.0,0.0
257,The Long Dark,09-22-2014,19.99,9.99,50.03
258,H1Z1: King of the Kill,02-17-2016,19.99,19.99,0.0
259,NieR:Automata ,03-17-2017,59.99,59.99,0.0
260,Batman : Arkham Knight,06-23-2015,19.99,7.99,60.03
261,Team Fortress 2,10-10-2007,0.0,0.0,0.0
262,War Thunder,08-15-2013,0.0,0.0,0.0
263,DRAGON QUEST HEROES  II,04-25-2017,59.99,59.99,0.0
264,FINAL FANTASY XIV: A Realm Reborn ,02-18-2014,19.99,19.99,0.0
265,Batman: Arkham City - Game of the Year Edition,09-7-2012,19.99,4.99,75.04
266,Space Engineers,10-23-2013,24.99,7.49,70.03
267,Sniper Ghost Warrior 3,04-24-2017,49.99,49.99,0.0
268,Tom Clancy's Rainbow Six Siege,12-1-2015,14.99,14.99,0.0
269,Dota 2,07-9-2013,0.0,0.0,0.0
270,Grand Theft Auto V,04-13-2015,59.99,59.99,0.0
271,Batman: Arkham Asylum Game of the Year Edition,03-26-2010,19.99,4.99,75.04
272,Halo Wars: Definitive Edition,04-20-2017,19.99,19.99,0.0
273,Street Fighter V,02-15-2016,39.99,39.99,0.0
274,Batman : Arkham VR,04-25-2017,19.99,19.99,0.0
275,Star Trek Online,01-31-2012,0.0,0.0,0.0
276,Fallout Shelter,03-29-2017,0.0,0.0,0.0
277,Path of Exile,10-23-2013,0.0,0.0,0.0
278,Batman : Arkham Origins,10-25-2013,19.99,4.99,75.04
279,Sid Meier’s Civilization VI,10-20-2016,59.99,59.99,0.0
280,What Remains of Edith Finch,04-24-2017,19.99,19.99,0.0
281,Scanner Sombre,04-26-2017,11.99,9.59,20.02
282,Earthfall,04-26-2017,29.99,29.99,0.0
283,Rick and Morty: Virtual Rick-ality,04-20-2017,29.99,29.99,0.0
284,Stardew Valley,02-26-2016,14.99,14.99,0.0
285,Stellaris,05-9-2016,39.99,39.99,0.0
